order_id,machine_type,date_basement_arrival,date_electrical_panel_arrival,date_delivery
0,lt8_ula,7,4,54
1,lt7_p_ins,9,11,37
2,lt8_12_ula,1,17,25
3,lt8_p_ula,12,6,55
4,lt8,8,5,56
5,lt8_ula,11,2,47
6,lt8_p_12,19,6,52
7,lt7_ins,17,11,57
8,lt8_ula,8,16,30
9,lt8_12_ula,3,16,50
10,lt8_12_ula,3,1,23
11,lt8_p_ula,1,9,40
12,lt8,5,6,53
13,lt7_p_ins,10,16,50
14,lt8_p_ula,7,3,49
15,lt8_p_ula,9,4,29
16,lt7_ins,7,19,29
17,lt8_p,9,3,46
18,lt8,8,19,52
19,lt7_p,12,7,41
20,lt8_p_ula,2,9,43
21,lt8_p_12_ula,1,1,46
22,lt8_p,16,8,38
23,lt7_p,5,7,32
24,lt8_p_12_ula,3,18,36
25,lt8,12,8,55
26,lt7,8,1,45
27,lt8_p_12_ula,3,11,37
28,lt8_p_12,1,18,42
29,lt8_p,3,10,45
30,lt8_p_12_ula,5,3,26
31,lt8_12,15,7,61
32,lt7,14,16,43
33,lt8_12_ula,3,16,24
34,lt8_12_ula,1,17,46
35,lt8_p_12,5,2,41
36,lt8_p_12_ula,14,1,41
37,lt8_p_12_ula,7,16,27
38,lt7_ins,9,12,37
39,lt8_p_12_ula,15,5,45
40,lt8_ula,15,5,56
41,lt7_p_ins,10,9,45
42,lt8_12,13,9,39
43,lt7_ins,19,3,67
44,lt8,7,19,36
45,lt7_ins,17,16,59
46,lt8_ula,4,16,49
47,lt8,5,3,27
48,lt8_12,7,1,44
49,lt8_ula,13,11,57
50,lt7_p,15,17,58
51,lt7_p_ins,11,8,43
52,lt8_12,4,4,51
53,lt8_p_12_ula,13,6,58
54,lt7_p,7,8,33
55,lt8_p_12,19,3,63
56,lt8_12,2,16,25
57,lt8_p_12,10,3,42
58,lt8,13,18,52
59,lt7_p,6,14,26
60,lt7_p_ins,12,18,39
61,lt8_p_12_ula,12,2,45
62,lt8_p_12_ula,11,3,46
63,lt8_ula,7,16,40
64,lt8_p_12_ula,1,9,32
65,lt8_p_ula,1,4,39
66,lt7_ins,13,1,55
67,lt7,9,4,43
68,lt7_p_ins,3,1,50
69,lt7_p,7,14,28
70,lt8_p_ula,6,16,27
71,lt7_p_ins,8,8,50
72,lt7_p,9,7,50
73,lt8_p,5,3,43
74,lt8_p,1,17,45
75,lt8_p_12,19,1,64
76,lt7_p_ins,10,16,59
77,lt8_p,12,12,60
78,lt7_p,15,19,56
79,lt8_p_12,9,14,54
80,lt8_p_12_ula,17,6,62
81,lt7_p,17,6,58
82,lt8_p_12,12,13,48
83,lt7_p_ins,7,19,46
84,lt8_p_ula,2,8,31
85,lt8_ula,3,2,28
86,lt8_p_12_ula,17,1,51
87,lt8_12,5,15,46
88,lt8_p_ula,17,1,47
89,lt8,17,5,64
90,lt7_p,17,16,41
91,lt8,2,19,22
92,lt8_p_ula,2,4,29
93,lt8_p_12,5,3,45
94,lt8_12,1,17,48
95,lt8_p_12_ula,1,17,32
96,lt8_p_12_ula,19,12,50
97,lt8_p_12_ula,2,14,26
98,lt8_12,12,6,38
99,lt7,6,3,29
