order_id,machine_type,date_basement_arrival,date_electrical_panel_arrival,date_delivery
0,lt8,67,75,201
1,lt8,56,77,201
2,lt8,77,82,188
3,lt8,92,108,182
4,lt8,73,109,125
5,lt8,102,111,108
6,lt8,83,112,125
7,lt8,68,116,123
8,lt8,96,116,140
9,lt8,72,118,108
10,lt8,114,119,152
11,lt8,74,123,140
12,lt8,106,125,124
13,lt8,101,126,143
14,lt8,115,130,185
15,lt8,121,136,164
16,lt8,114,138,159
17,lt8,128,140,139
18,lt8,124,144,200
19,lt8,104,153,175
20,lt8,120,157,200
21,lt8,111,160,178
22,lt8,114,161,180
23,lt8,141,166,153
24,lt8,159,167,230
25,lt8,144,171,173
26,lt8,156,175,207
27,lt8,152,175,194
28,lt8,140,179,360
29,lt8,177,182,278
30,lt8,163,185,258
31,lt8,158,187,311
32,lt8,144,189,203
33,lt8,143,193,290
34,lt8,164,195,234
35,lt8,182,200,187
36,lt8,155,200,201
37,lt8,194,202,242
38,lt8,176,207,269
39,lt8,202,209,441
40,lt8,174,221,228
41,lt8,181,221,237
42,lt8,213,229,280
43,lt8,207,234,269
44,lt8,221,237,252
45,lt8,220,241,266
46,lt8,214,241,248
47,lt8,217,262,262
48,lt8,252,262,283
49,lt8,237,265,264
50,lt8,223,266,266
51,lt8,249,272,277
52,lt8,265,276,312
53,lt8,249,278,273
54,lt8,251,278,304
55,lt8,260,283,299
56,lt8,239,286,367
57,lt8,281,290,306
58,lt8,260,292,362
59,lt8,269,293,294
60,lt8,247,294,399
61,lt8,250,298,418
62,lt8,291,311,306
63,lt8,287,335,332
64,lt8,300,337,362
65,lt8,322,340,327
66,lt8,331,342,342
67,lt8,334,346,347
68,lt8,334,348,361
69,lt8,330,354,364
70,lt8,347,360,360
71,lt8,355,363,367
72,lt8,328,364,367
73,lt8,337,368,374
74,lt8,348,369,419
75,lt8,349,370,384
76,lt8,328,374,416
77,lt8,331,374,392
78,lt8,376,398,399
79,lt8,376,402,404
80,lt8,358,402,425
81,lt8,358,403,404
82,lt8,383,410,616
83,lt8,407,418,419
84,lt8,398,418,495
85,lt8,403,418,437
86,lt8,379,420,426
87,lt8,404,423,440
88,lt8,376,423,431
89,lt8,382,423,461
90,lt8,393,425,425
91,lt8,399,425,423
92,lt8,380,426,444
93,lt8,417,427,461
94,lt8,385,431,474
95,lt8,425,432,495
96,lt8,383,432,458
