order_id,machine_type,date_basement_arrival,date_electrical_panel_arrival,date_delivery
0,lt8_12_ula,18,17,67
1,lt8_p_ula,12,17,37
2,lt8_12,2,12,27
3,lt8_12_ula,10,7,42
4,lt8_ula,4,2,42
5,lt8_p_12_ula,14,3,55
6,lt8_12,16,17,43
7,lt8_12,15,5,61
8,lt8_12_ula,8,17,54
9,lt8_p,14,17,35
10,lt8_ula,8,17,48
11,lt8_12_ula,16,2,65
12,lt8_ula,13,2,33
13,lt8_ula,18,5,65
14,lt8_p_12_ula,15,1,49
15,lt8_12,13,1,33
16,lt8_p_ula,9,19,33
17,lt8_p_12_ula,15,2,62
18,lt8_p_12_ula,13,12,61
19,lt8_ula,1,6,36
20,lt8_p_12,7,4,45
21,lt8_12,9,11,32
22,lt8_p,1,17,23
23,lt8_p_12_ula,12,6,48
24,lt8_p_ula,8,5,44
25,lt8_p_12,11,2,42
26,lt8_p_12,19,6,66
27,lt8_p,17,11,66
28,lt8_p_12_ula,8,16,56
29,lt8_p_ula,3,16,36
30,lt8_12,3,1,43
31,lt8,1,9,26
32,lt8_p_ula,5,6,27
33,lt8_p,10,16,57
34,lt8_p_12,7,3,35
35,lt8_12,9,4,33
36,lt8_p_ula,7,19,50
37,lt8,9,3,57
38,lt8,8,19,44
39,lt8_ula,12,7,45
40,lt8_ula,2,9,42
41,lt8_12_ula,1,1,23
42,lt8_p,16,8,63
43,lt8_p_12_ula,5,7,25
44,lt8_p_ula,3,18,42
45,lt8_p_ula,12,8,60
46,lt8_p_12_ula,8,1,48
47,lt8_12_ula,3,11,45
48,lt8_p_12,1,18,21
49,lt8_p_12,3,10,25
50,lt8_12_ula,5,3,42
51,lt8_p_12,15,7,59
52,lt8_ula,14,16,43
53,lt8_p_ula,3,16,44
54,lt8_12_ula,1,17,46
55,lt8_p_ula,5,2,27
56,lt8_p_12_ula,14,1,41
57,lt8,7,16,40
58,lt8_ula,9,12,52
59,lt8_12,15,5,52
60,lt8_ula,15,5,49
61,lt8_12_ula,10,9,51
62,lt8_12,13,9,55
63,lt8,19,3,40
64,lt8_12_ula,7,19,53
65,lt8_p,17,16,46
66,lt8_p_ula,4,16,25
67,lt8,5,3,50
68,lt8_p_ula,7,1,43
69,lt8_p_12,13,11,40
70,lt8_p,15,17,35
71,lt8_p,11,8,39
72,lt8,4,4,34
73,lt8_p,13,6,54
74,lt8_12,7,8,42
75,lt8_p,19,3,45
76,lt8_p_ula,2,16,50
77,lt8_p_ula,10,3,39
78,lt8_12_ula,13,18,55
79,lt8_p_ula,6,14,51
80,lt8_12_ula,12,18,34
81,lt8_p_ula,12,2,49
82,lt8_12,11,3,55
83,lt8_p_12_ula,7,16,50
84,lt8_12_ula,1,9,33
85,lt8_ula,1,4,48
86,lt8_p_12,13,1,58
87,lt8,9,4,35
88,lt8_p_ula,3,1,47
89,lt8_p,7,14,30
90,lt8_p_12_ula,6,16,38
91,lt8_p_ula,8,8,47
92,lt8_p,9,7,29
93,lt8_p_12,5,3,32
94,lt8_p_12,1,17,34
95,lt8_p_12,19,1,54
96,lt8_p,10,16,43
97,lt8_p_ula,12,12,43
98,lt8_p_12,15,19,53
99,lt8_12,9,14,51
