order_id,machine_type,date_basement_arrival,date_electrical_panel_arrival,date_delivery
0,lt7_ins,18,17,67
1,lt7_p_ins,12,17,37
2,lt7,2,12,27
3,lt7_ins,10,7,42
4,lt7_ins,4,2,42
5,lt7_p_ins,14,3,55
6,lt7,16,17,43
7,lt7,15,5,61
8,lt7_ins,8,17,54
9,lt7_p,14,17,35
10,lt7_ins,8,17,48
11,lt7_ins,16,2,65
12,lt7_ins,13,2,33
13,lt7_ins,18,5,65
14,lt7_p_ins,15,1,49
15,lt7,13,1,33
16,lt7_p_ins,9,19,33
17,lt7_p_ins,15,2,62
18,lt7_p_ins,13,12,61
19,lt7_ins,1,6,36
20,lt7_p,7,4,45
21,lt7,9,11,32
22,lt7_p,1,17,23
23,lt7_p_ins,12,6,48
24,lt7_p_ins,8,5,44
25,lt7_p,11,2,42
26,lt7_p,19,6,66
27,lt7_p,17,11,66
28,lt7_p_ins,8,16,56
29,lt7_p_ins,3,16,36
30,lt7,3,1,43
31,lt7,1,9,26
32,lt7_p_ins,5,6,27
33,lt7_p,10,16,57
34,lt7_p,7,3,35
35,lt7,9,4,33
36,lt7_p_ins,7,19,50
37,lt7,9,3,57
38,lt7,8,19,44
39,lt7_ins,12,7,45
40,lt7_ins,2,9,42
41,lt7_ins,1,1,23
42,lt7_p,16,8,63
43,lt7_p_ins,5,7,25
44,lt7_p_ins,3,18,42
45,lt7_p_ins,12,8,60
46,lt7_p_ins,8,1,48
47,lt7_ins,3,11,45
48,lt7_p,1,18,21
49,lt7_p,3,10,25
50,lt7_ins,5,3,42
51,lt7_p,15,7,59
52,lt7_ins,14,16,43
53,lt7_p_ins,3,16,44
54,lt7_ins,1,17,46
55,lt7_p_ins,5,2,27
56,lt7_p_ins,14,1,41
57,lt7,7,16,40
58,lt7_ins,9,12,52
59,lt7,15,5,52
60,lt7_ins,15,5,49
61,lt7_ins,10,9,51
62,lt7,13,9,55
63,lt7,19,3,40
64,lt7_ins,7,19,53
65,lt7_p,17,16,46
66,lt7_p_ins,4,16,25
67,lt7,5,3,50
68,lt7_p_ins,7,1,43
69,lt7_p,13,11,40
70,lt7_p,15,17,35
71,lt7_p,11,8,39
72,lt7,4,4,34
73,lt7_p,13,6,54
74,lt7,7,8,42
75,lt7_p,19,3,45
76,lt7_p_ins,2,16,50
77,lt7_p_ins,10,3,39
78,lt7_ins,13,18,55
79,lt7_p_ins,6,14,51
80,lt7_ins,12,18,34
81,lt7_p_ins,12,2,49
82,lt7,11,3,55
83,lt7_p_ins,7,16,50
84,lt7_ins,1,9,33
85,lt7_ins,1,4,48
86,lt7_p,13,1,58
87,lt7,9,4,35
88,lt7_p_ins,3,1,47
89,lt7_p,7,14,30
90,lt7_p_ins,6,16,38
91,lt7_p_ins,8,8,47
92,lt7_p,9,7,29
93,lt7_p,5,3,32
94,lt7_p,1,17,34
95,lt7_p,19,1,54
96,lt7_p,10,16,43
97,lt7_p_ins,12,12,43
98,lt7_p,15,19,53
99,lt7,9,14,51
